opp_id,rep_id,product_id,region_id,channel_id,stage,deal_value,deal_value_flag,created_date_id,close_date_id
OPP00001,REP005,PRD14,5,1,Lead,11.2,OK,20251215,
OPP00002,REP040,PRD02,2,2,Lead,35.68,OK,20260826,
OPP00003,REP015,PRD13,4,2,Lead,210.28,OK,20251207,
OPP00004,REP019,PRD14,1,1,Closed Lost,66.35,OK,20260303,20260519
OPP00005,REP034,PRD06,1,1,Qualified,247.79,OK,20260420,
OPP00006,REP010,PRD15,5,4,Lead,1468.53,OK,20260609,
OPP00007,REP009,PRD12,3,4,Lead,100.63,OK,20260810,
OPP00008,REP006,PRD07,2,1,Qualified,89.85,OK,20260619,
OPP00009,REP016,PRD15,2,4,Proposal,2589.57,OK,20251005,
OPP00010,REP025,PRD05,1,1,Qualified,846.96,OK,20260112,
OPP00011,REP015,PRD12,4,1,Lead,515.36,OK,20251225,
OPP00012,REP031,PRD14,3,2,Closed Won,44.83,OK,20250822,20251231
OPP00013,REP024,PRD12,1,2,Closed Won,436.19,OK,20250720,20260114
OPP00014,REP031,PRD09,3,1,Lead,485.72,OK,20251222,
OPP00015,REP025,PRD11,1,2,Lead,1127.93,OK,20250709,
OPP00016,REP029,PRD05,4,2,Qualified,78.51,OK,20250828,
OPP00017,REP027,PRD11,3,5,Lead,2415.18,OK,20250818,
OPP00018,REP031,PRD13,3,2,Lead,127.64,OK,20251228,
OPP00019,REP027,PRD11,3,4,Qualified,881.74,OK,20250825,
OPP00020,REP031,PRD09,3,1,Lead,219.98,OK,20250728,
OPP00021,REP027,PRD13,3,1,Lead,27.31,OK,20260317,
OPP00022,REP038,PRD15,5,2,Proposal,3341.37,OK,20250828,
OPP00023,REP009,PRD12,3,3,Qualified,117.75,OK,20260807,
OPP00024,REP004,PRD01,5,2,Proposal,152.9,OK,20260104,
OPP00025,REP017,PRD09,4,1,Closed Lost,142.07,OK,20260205,20260812
OPP00026,REP029,PRD15,4,1,Closed Lost,868.48,OK,20251217,20260714
OPP00027,REP026,PRD14,3,4,Proposal,163.52,OK,20251014,
OPP00028,REP001,PRD08,4,5,Closed Lost,5435.02,OK,20260706,20260729
OPP00029,REP010,PRD13,5,3,Lead,199.59,OK,20260706,
OPP00030,REP001,PRD07,4,1,Qualified,160.79,OK,20260516,
OPP00031,REP023,PRD05,4,2,Proposal,3143.32,OK,20251128,
OPP00032,REP032,PRD03,4,2,Qualified,917.39,OK,20250915,
OPP00033,REP022,PRD10,5,1,Qualified,82.8,OK,20250917,
OPP00034,REP039,PRD01,1,3,Lead,32.1,OK,20260603,
OPP00035,REP024,PRD01,1,5,Closed Won,84.35,OK,20260405,20260626
OPP00036,REP023,PRD15,4,4,Qualified,786.95,OK,20260519,
OPP00037,REP024,PRD08,1,4,Closed Won,1097.69,OK,20260701,20260706
OPP00038,REP011,PRD06,4,1,Qualified,142.35,OK,20250918,
OPP00039,REP018,PRD03,5,4,Lead,25.96,OK,20250820,
OPP00040,REP029,PRD14,4,2,Closed Won,53.98,OK,20260512,20260716
OPP00041,REP023,PRD07,4,2,Qualified,61.4,OK,20250926,
OPP00042,REP034,PRD08,1,1,Lead,1205.3,OK,20260113,
OPP00043,REP019,PRD04,1,2,Closed Won,39.07,OK,20251129,20260210
OPP00044,REP028,PRD01,2,2,Closed Lost,45.55,OK,20260824,20260829
OPP00045,REP030,PRD13,4,1,Proposal,48.98,OK,20251020,
OPP00046,REP021,PRD08,2,3,Proposal,1939.07,OK,20260527,
OPP00047,REP012,PRD09,3,4,Qualified,149.34,OK,20251123,
OPP00048,REP022,PRD08,5,3,Proposal,1566.24,OK,20260205,
OPP00049,REP015,PRD03,4,2,Closed Lost,575.51,OK,20260628,20260722
OPP00050,REP035,PRD07,3,4,Proposal,53.9,OK,20250831,
OPP00051,REP035,PRD01,3,1,Qualified,34.06,OK,20260613,
OPP00052,REP035,PRD01,3,1,Lead,51.77,OK,20250918,
OPP00053,REP031,PRD02,3,1,Closed Lost,240.18,OK,20250812,20260422
OPP00054,REP028,PRD10,2,4,Closed Won,53.87,OK,20260827,20260827
OPP00055,REP010,PRD05,5,1,Lead,1082.75,OK,20250914,
OPP00056,REP034,PRD02,1,4,Qualified,129.66,OK,20260103,
OPP00057,REP024,PRD12,1,5,Proposal,265.12,OK,20251110,
OPP00058,REP024,PRD05,1,1,Closed Lost,1315.5,OK,20260515,20260817
OPP00059,REP023,PRD13,4,4,Proposal,32.44,OK,20260712,
OPP00060,REP009,PRD09,3,2,Qualified,77.62,OK,20251217,
OPP00061,REP018,PRD02,5,5,Lead,244.19,OK,20260511,
OPP00062,REP011,PRD14,4,5,Qualified,142.45,OK,20250818,
OPP00063,REP020,PRD13,4,3,Qualified,221.86,OK,20251108,
OPP00064,REP010,PRD10,5,5,Proposal,73.76,OK,20260424,
OPP00065,REP011,PRD01,4,1,Proposal,212.04,OK,20250705,
OPP00066,REP027,PRD02,3,3,Closed Lost,54.18,OK,20260503,20260623
OPP00067,REP016,PRD02,2,5,Qualified,164.82,OK,20260622,
OPP00068,REP036,PRD13,5,1,Proposal,220.73,OK,20260210,
OPP00069,REP025,PRD11,1,2,Qualified,920.0,OK,20260528,
OPP00070,REP023,PRD07,4,4,Closed Won,25.02,OK,20260717,20260724
OPP00071,REP023,PRD08,4,4,Closed Won,2349.57,OK,20251128,20260323
OPP00072,REP035,PRD11,3,1,Proposal,816.62,OK,20251220,
OPP00073,REP022,PRD14,5,3,Qualified,267.13,REVIEW,20250818,
OPP00074,REP021,PRD03,2,5,Lead,1116.48,OK,20260829,
OPP00075,REP008,PRD05,3,3,Closed Won,496.8,OK,20250820,20260606
OPP00076,REP012,PRD07,3,4,Lead,41.28,OK,20260304,
OPP00077,REP015,PRD14,4,2,Qualified,11.17,OK,20250817,
OPP00078,REP027,PRD01,3,2,Lead,25.62,OK,20250811,
OPP00079,REP034,PRD06,1,1,Lead,92.55,OK,20260709,
OPP00080,REP006,PRD02,2,3,Proposal,162.41,OK,20260729,
OPP00081,REP036,PRD01,5,2,Closed Lost,148.6,OK,20260820,20260823
OPP00082,REP036,PRD10,5,2,Qualified,36.54,OK,20250817,
OPP00083,REP002,PRD01,5,3,Closed Won,18.09,OK,20260802,20260805
OPP00084,REP028,PRD08,2,5,Closed Lost,2625.34,OK,20251125,20251221
OPP00085,REP017,PRD13,4,4,Qualified,85.7,OK,20250825,
OPP00086,REP006,PRD05,2,2,Closed Lost,982.84,OK,20260102,20260607
OPP00087,REP024,PRD11,1,2,Lead,4470.59,OK,20251005,
OPP00088,REP001,PRD04,4,1,Lead,61.31,OK,20260111,
OPP00089,REP003,PRD10,3,2,Lead,43.51,OK,20250803,
OPP00090,REP004,PRD07,5,5,Lead,64.25,OK,20250905,
OPP00091,REP029,PRD12,4,5,Closed Won,86.07,OK,20260525,20260725
OPP00092,REP007,PRD09,3,4,Closed Won,1013.57,OK,20260122,20260411
OPP00093,REP016,PRD07,2,1,Qualified,167.29,OK,20260305,
OPP00094,REP031,PRD14,3,1,Qualified,134.28,OK,20260105,
OPP00095,REP025,PRD14,1,5,Lead,91.74,OK,20260126,
OPP00096,REP008,PRD05,3,1,Lead,1650.36,OK,20260507,
OPP00097,REP040,PRD03,2,3,Lead,181.69,OK,20251013,
OPP00098,REP014,PRD14,2,2,Proposal,26.19,OK,20260222,
OPP00099,REP038,PRD14,5,5,Proposal,56.23,OK,20260624,
OPP00100,REP003,PRD09,3,2,Closed Won,618.72,OK,20260306,20260902
OPP00101,REP037,PRD08,3,3,Lead,3156.71,OK,20250829,
OPP00102,REP036,PRD11,5,3,Proposal,1149.65,OK,20250711,
OPP00103,REP017,PRD09,4,3,Qualified,548.14,OK,20260624,
OPP00104,REP005,PRD14,5,1,Qualified,67.26,OK,20250919,
OPP00105,REP013,PRD15,5,5,Lead,1491.91,OK,20250829,
OPP00106,REP008,PRD14,3,2,Lead,117.48,OK,20260825,
OPP00107,REP018,PRD03,5,1,Qualified,623.76,OK,20251216,
OPP00108,REP017,PRD01,4,3,Qualified,119.62,OK,20260731,
OPP00109,REP030,PRD09,4,2,Lead,562.2,OK,20260125,
OPP00110,REP004,PRD06,5,4,Proposal,196.7,OK,20251014,
OPP00111,REP002,PRD11,5,1,Lead,3595.09,OK,20260401,
OPP00112,REP001,PRD02,4,1,Proposal,113.21,OK,20250826,
OPP00113,REP036,PRD05,5,4,Closed Lost,870.5,OK,20260109,20260601
OPP00114,REP025,PRD13,1,2,Qualified,309.57,OK,20260210,
OPP00115,REP014,PRD06,2,3,Proposal,223.48,OK,20251103,
OPP00116,REP029,PRD15,4,1,Lead,173.17,OK,20260609,
OPP00117,REP009,PRD07,3,5,Proposal,138.8,OK,20260829,
OPP00118,REP040,PRD09,2,1,Lead,408.63,OK,20260223,
OPP00119,REP036,PRD04,5,2,Lead,118.76,OK,20260818,
OPP00120,REP033,PRD15,4,4,Lead,1174.62,OK,20250710,
OPP00121,REP020,PRD09,4,5,Lead,591.84,OK,20260221,
OPP00122,REP028,PRD11,2,3,Lead,2801.13,OK,20250922,
