order_id,opp_id,amount,payment_status,payment_date_id
ORD00001,OPP00012,44.83,Paid,20251231
ORD00002,OPP00013,436.19,Paid,20260114
ORD00003,OPP00035,84.35,Paid,20260626
ORD00004,OPP00037,1097.69,Paid,20260706
ORD00005,OPP00040,53.98,Refunded,20260716
ORD00006,OPP00043,39.07,Refunded,20260210
ORD00007,OPP00054,53.87,Paid,20260827
ORD00008,OPP00070,25.02,Paid,20260724
ORD00009,OPP00071,2349.57,Paid,20260323
ORD00010,OPP00075,496.8,Paid,20260606
ORD00011,OPP00083,18.09,Paid,20260805
ORD00012,OPP00091,86.07,Paid,20260725
ORD00013,OPP00092,1013.57,Pending,20260411
ORD00014,OPP00100,618.72,Paid,20260902
ORD00015,OPP00125,23.77,Paid,20251111
ORD00016,OPP00129,172.04,Paid,20260505
ORD00017,OPP00132,36.25,Paid,20260730
ORD00018,OPP00136,1753.9,Paid,20260220
ORD00019,OPP00146,88.86,Paid,20260902
ORD00020,OPP00152,1969.16,Paid,20260614
ORD00021,OPP00153,163.9,Paid,20260401
ORD00022,OPP00156,411.1,Paid,20260517
ORD00023,OPP00166,252.75,Paid,20251209
ORD00024,OPP00177,161.42,Pending,20260602
ORD00025,OPP00182,215.92,Paid,20260504
ORD00026,OPP00193,48.48,Paid,20260401
ORD00027,OPP00194,47.29,Paid,20260209
ORD00028,OPP00198,199.41,Paid,20260527
ORD00029,OPP00220,444.14,Paid,20260708
ORD00030,OPP00224,663.63,Paid,20260713
ORD00031,OPP00225,27.52,Paid,20260511
ORD00032,OPP00230,2204.48,Paid,20260609
ORD00033,OPP00240,80.2,Paid,20260408
ORD00034,OPP00244,112.69,Paid,20260131
ORD00035,OPP00251,459.32,Paid,20260829
ORD00036,OPP00265,79.37,Paid,20260301
ORD00037,OPP00267,79.45,Paid,20260822
ORD00038,OPP00270,381.96,Paid,20260731
ORD00039,OPP00274,119.03,Paid,20260630
ORD00040,OPP00277,34.06,Paid,20260429
ORD00041,OPP00282,598.76,Paid,20260617
ORD00042,OPP00290,126.51,Paid,20251216
ORD00043,OPP00295,79.38,Paid,20260130
ORD00044,OPP00298,797.87,Paid,20260831
ORD00045,OPP00300,33.55,Paid,20251109
ORD00046,OPP00304,104.02,Paid,20260726
ORD00047,OPP00305,743.69,Paid,20260407
ORD00048,OPP00308,20.38,Paid,20260728
ORD00049,OPP00327,387.91,Paid,20251121
ORD00050,OPP00337,176.74,Paid,20260306
ORD00051,OPP00343,116.67,Paid,20260625
ORD00052,OPP00354,68.18,Paid,20260724
ORD00053,OPP00359,404.96,Paid,20260507
ORD00054,OPP00363,65.12,Paid,20260615
ORD00055,OPP00372,123.63,Paid,20260430
ORD00056,OPP00376,821.32,Paid,20260724
ORD00057,OPP00386,24.73,Paid,20260826
ORD00058,OPP00397,52.58,Paid,20260813
ORD00059,OPP00417,629.84,Paid,20260106
ORD00060,OPP00418,869.79,Paid,20260529
ORD00061,OPP00420,121.98,Paid,20260704
ORD00062,OPP00422,24.17,Paid,20260828
ORD00063,OPP00428,91.0,Paid,20260717
ORD00064,OPP00429,3261.99,Paid,20260416
ORD00065,OPP00434,2379.05,Paid,20260902
ORD00066,OPP00438,183.6,Paid,20260810
ORD00067,OPP00442,307.45,Pending,20260326
ORD00068,OPP00443,192.31,Paid,20260516
ORD00069,OPP00445,401.99,Paid,20260225
ORD00070,OPP00450,76.09,Refunded,20260405
ORD00071,OPP00474,43.58,Paid,20260822
ORD00072,OPP00489,905.67,Paid,20251103
ORD00073,OPP00496,583.56,Paid,20260601
ORD00074,OPP00498,-1230.95,Pending,20260521
ORD00075,OPP00505,1499.83,Paid,20260902
ORD00076,OPP00509,457.43,Paid,20251022
ORD00077,OPP00511,203.6,Paid,20260802
ORD00078,OPP00522,385.18,Paid,20260704
ORD00079,OPP00537,267.76,Paid,20260720
ORD00080,OPP00540,444.49,Paid,20260313
ORD00081,OPP00572,1078.11,Paid,20260304
ORD00082,OPP00573,85.72,Paid,20260526
ORD00083,OPP00586,223.99,Paid,20260815
ORD00084,OPP00594,161.06,Paid,20260726
ORD00085,OPP00598,10.55,Paid,20260829
ORD00086,OPP00602,0.0,Paid,20260601
ORD00087,OPP00610,601.66,Paid,20260609
ORD00088,OPP00630,2230.57,Paid,20260728
ORD00089,OPP00638,1467.34,Paid,20260829
ORD00090,OPP00639,2321.97,Paid,20260828
ORD00091,OPP00643,698.5,Paid,20260131
ORD00092,OPP00646,539.29,Paid,20260311
ORD00093,OPP00647,2656.35,Refunded,20260806
ORD00094,OPP00682,1372.12,Paid,20260722
ORD00095,OPP00689,115.68,Paid,20260612
ORD00096,OPP00712,147.49,Paid,20260625
ORD00097,OPP00718,5860.45,Paid,20260404
ORD00098,OPP00742,48.89,Paid,20260403
ORD00099,OPP00746,73.14,Paid,20260629
ORD00100,OPP00751,374.83,Paid,20260325
ORD00101,OPP00761,225.64,Paid,20260901
ORD00102,OPP00763,354.59,Paid,20260610
