order_id,opp_id,amount,payment_status,payment_date
ORD90000,OPP90000,150.38,Paid,2026-08-17
ORD90001,OPP90001,88.18,Paid,2026-07-02
ORD90002,OPP90002,27.52,Paid,2026-05-11
ORD90003,OPP90003,192.33,Paid,08/05/2026
ORD90004,OPP90004,269.22,Paid,09/01/2026
ORD90005,OPP90005,1475.92,Paid,20-Nov-2025
ORD90006,OPP90006,1020.29,Paid,2025-11-03
ORD90007,OPP90007,592.7,Paid,07/19/2026
ORD90008,OPP90008,280.78,Paid,12/12/2025
ORD90009,OPP90009,704.16,Refunded,2026-01-24
ORD90010,OPP90010,265.77,Paid,2026-08-05
ORD90011,OPP90011,42.19,Paid,2026-08-15
ORD90012,OPP90012,235.04,Paid,2026-01-23
ORD90013,OPP90013,223.14,Refunded,2026-07-18
ORD90014,OPP90014,81.37,Paid,06/19/2026
