region_name,channel_name,year,month,avg_deal_size,deals_won
Central,Inbound,2025,7,291.37,1
Central,Partner,2025,7,28.56,1
Central,Inbound,2025,9,87.84,1
Central,Outbound,2025,9,128.63,1
Central,Inbound,2025,10,96.3,1
Central,Outbound,2025,10,110.95,1
Central,Partner,2025,10,170.48,2
Central,Referral,2025,10,170.38,1
Central,Web Signup,2025,10,524.97,1
Central,Outbound,2025,11,49.62,2
Central,Partner,2025,11,387.91,1
Central,Referral,2025,11,662.91,3
Central,Inbound,2025,12,92.35,2
Central,Outbound,2025,12,525.55,7
Central,Partner,2025,12,260.51,4
Central,Referral,2025,12,159.32,1
Central,Inbound,2026,1,305.62,3
Central,Outbound,2026,1,15.11,1
Central,Partner,2026,1,272.99,2
Central,Referral,2026,1,90.83,1
Central,Web Signup,2026,1,364.46,2
Central,Inbound,2026,2,972.82,4
Central,Outbound,2026,2,96.62,1
Central,Partner,2026,2,142.02,1
Central,Referral,2026,2,433.08,1
Central,Web Signup,2026,2,47.29,1
Central,Inbound,2026,3,113.41,3
Central,Outbound,2026,3,520.0,4
Central,Referral,2026,3,625.39,6
Central,Web Signup,2026,3,290.95,1
Central,Inbound,2026,4,422.76,4
Central,Outbound,2026,4,175.4,8
Central,Partner,2026,4,361.44,2
Central,Referral,2026,4,120.18,2
Central,Web Signup,2026,4,252.76,3
Central,Inbound,2026,5,381.49,4
Central,Outbound,2026,5,340.29,4
Central,Partner,2026,5,114.95,2
Central,Referral,2026,5,524.15,4
Central,Web Signup,2026,5,265.12,2
Central,Inbound,2026,6,202.53,5
Central,Outbound,2026,6,134.45,7
Central,Partner,2026,6,570.94,6
Central,Referral,2026,6,2416.48,1
Central,Web Signup,2026,6,1337.17,2
Central,Inbound,2026,7,364.5,4
Central,Outbound,2026,7,227.01,17
Central,Partner,2026,7,938.34,6
Central,Referral,2026,7,290.35,8
Central,Web Signup,2026,7,137.08,1
Central,Inbound,2026,8,326.73,15
Central,Outbound,2026,8,577.66,11
Central,Partner,2026,8,561.14,8
Central,Referral,2026,8,318.35,7
Central,Web Signup,2026,8,217.35,7
Central,Inbound,2026,9,948.84,2
Central,Outbound,2026,9,145.98,2
Central,Partner,2026,9,168.26,1
Central,Web Signup,2026,9,134.54,2
East,Referral,2025,8,661.43,2
East,Inbound,2025,9,83.51,2
East,Inbound,2025,10,163.51,3
East,Outbound,2025,10,121.51,1
East,Partner,2025,10,1244.29,1
East,Referral,2025,10,50.54,2
East,Inbound,2025,11,85.75,2
East,Partner,2025,11,58.6,1
East,Referral,2025,11,278.54,2
East,Web Signup,2025,11,905.67,1
East,Inbound,2025,12,729.61,5
East,Outbound,2025,12,280.78,1
East,Partner,2025,12,434.77,2
East,Referral,2025,12,5420.12,1
East,Inbound,2026,1,392.19,3
East,Outbound,2026,1,693.25,4
East,Partner,2026,1,33.15,1
East,Web Signup,2026,1,103.03,1
East,Inbound,2026,2,306.82,5
East,Outbound,2026,2,362.41,1
East,Referral,2026,2,503.36,3
East,Inbound,2026,3,462.5,7
East,Outbound,2026,3,318.04,11
East,Partner,2026,3,235.53,3
East,Referral,2026,3,248.24,2
East,Web Signup,2026,3,104.45,2
East,Inbound,2026,4,1876.36,7
East,Outbound,2026,4,724.97,4
East,Partner,2026,4,370.04,4
East,Referral,2026,4,934.69,2
East,Web Signup,2026,4,2379.19,3
East,Inbound,2026,5,742.78,8
East,Outbound,2026,5,1123.41,7
East,Partner,2026,5,167.48,3
East,Referral,2026,5,646.5,3
East,Web Signup,2026,5,464.92,3
East,Inbound,2026,6,631.75,5
East,Outbound,2026,6,574.43,8
East,Referral,2026,6,227.52,4
East,Web Signup,2026,6,2139.85,1
East,Inbound,2026,7,1161.97,6
East,Outbound,2026,7,264.28,7
East,Partner,2026,7,239.31,3
East,Referral,2026,7,289.7,6
East,Web Signup,2026,7,345.04,2
East,Inbound,2026,8,700.08,18
