cohort_label,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2025-07,3.0,6.0,10.0,15.0,22.0,30.0,35.0,39.0,46.0,51.0,54.0,57.0,61.0,67.0
2025-08,1.0,2.0,12.0,16.0,22.0,29.0,32.0,38.0,43.0,45.0,50.0,54.0,55.0,56.0
2025-09,5.0,12.0,15.0,22.0,30.0,39.0,47.0,54.0,57.0,59.0,67.0,68.0,68.0,68.0
2025-10,3.0,10.0,18.0,21.0,26.0,31.0,36.0,39.0,45.0,55.0,64.0,66.0,66.0,66.0
2025-11,3.0,12.0,21.0,26.0,36.0,41.0,53.0,57.0,66.0,75.0,75.0,75.0,75.0,75.0
2025-12,5.0,12.0,21.0,26.0,36.0,43.0,54.0,58.0,67.0,69.0,69.0,69.0,69.0,69.0
2026-01,9.0,19.0,31.0,43.0,52.0,62.0,70.0,75.0,76.0,76.0,76.0,76.0,76.0,76.0
2026-02,7.0,20.0,32.0,44.0,54.0,63.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
2026-03,4.0,14.0,26.0,34.0,45.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
2026-04,6.0,15.0,30.0,41.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
2026-05,8.0,24.0,48.0,66.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
2026-06,13.0,36.0,71.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
2026-07,19.0,55.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
2026-08,51.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
2026-09,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
