year,month,predicted_total,actual_total,abs_error,pct_error
2025,7,423.1,544.83,121.73,22.3
2025,8,984.97,1403.97,419.0,29.8
2025,9,5174.21,1940.74,3233.47,166.6
2025,10,10522.49,13064.02,2541.53,19.5
2025,11,10983.18,9212.28,1770.9,19.2
2025,12,20405.76,26511.33,6105.57,23.0
2026,1,18983.92,23329.12,4345.2,18.6
2026,2,24601.12,31369.82,6768.7,21.6
2026,3,27431.83,26981.76,450.07,1.7
2026,4,33145.8,44345.96,11200.16,25.3
2026,5,35943.07,44907.51,8964.44,20.0
2026,6,39104.56,49310.56,10206.0,20.7
2026,7,69571.69,78315.94,8744.25,11.2
2026,8,99300.92,113610.33,14309.41,12.6
2026,9,11305.71,16686.62,5380.91,32.2
