region_name,year,month,month_name,revenue
Central,2025,7,Jul,319.93
Central,2025,9,Sep,216.47
Central,2025,10,Oct,1147.25
Central,2025,11,Nov,2475.86
Central,2025,12,Dec,2337.25
Central,2026,1,Jan,1593.53
Central,2026,2,Feb,4610.27
Central,2026,3,Mar,6216.55
Central,2026,4,Apr,4739.72
Central,2026,5,May,2767.97
Central,2026,6,Jun,9659.56
Central,2026,7,Jul,10595.87
Central,2026,8,Aug,15906.22
Central,2026,9,Sep,2626.97
East,2025,8,Aug,1322.86
East,2025,9,Sep,167.01
East,2025,10,Oct,1675.4
East,2025,11,Nov,1622.75
East,2025,12,Dec,10218.5
East,2026,1,Jan,1961.52
East,2026,2,Feb,3241.94
East,2026,3,Mar,7914.82
East,2026,4,Apr,22280.69
East,2026,5,May,8683.6
East,2026,6,Jun,7317.77
East,2026,7,Jul,5446.59
East,2026,8,Aug,32955.65
East,2026,9,Sep,8204.01
North,2025,9,Sep,53.84
North,2025,10,Oct,1470.84
North,2025,11,Nov,199.24
North,2025,12,Dec,7133.35
North,2026,1,Jan,5659.5
North,2026,2,Feb,6372.35
North,2026,3,Mar,2017.37
North,2026,4,Apr,1145.53
North,2026,5,May,5935.27
North,2026,6,Jun,6512.58
North,2026,7,Jul,11085.25
North,2026,8,Aug,7205.29
North,2026,9,Sep,804.85
South,2025,9,Sep,1281.7
South,2025,10,Oct,1938.4
South,2025,11,Nov,1637.09
South,2025,12,Dec,1850.3
South,2026,1,Jan,3095.57
South,2026,2,Feb,6066.24
South,2026,3,Mar,4422.21
South,2026,4,Apr,3649.71
South,2026,5,May,2589.92
South,2026,6,Jun,9086.19
South,2026,7,Jul,6344.02
South,2026,8,Aug,17335.07
South,2026,9,Sep,171.23
West,2025,8,Aug,81.11
West,2025,10,Oct,6226.34
West,2025,11,Nov,2750.36
West,2025,12,Dec,1355.87
West,2026,1,Jan,7053.42
West,2026,2,Feb,7888.16
West,2026,3,Mar,5064.91
West,2026,4,Apr,7245.97
West,2026,5,May,11690.18
West,2026,6,Jun,11986.36
West,2026,7,Jul,25257.75
West,2026,8,Aug,21194.79
West,2026,9,Sep,3550.57
