opp_id,rep_id,product_id,channel,region_raw,stage,deal_value,created_date,close_date
OPP00001,REP005,PRD14,Outbound,central,Lead,11.2,2025-12-15,
OPP00002,REP040,PRD02,Inbound,South ,Lead,35.68,2026-08-26,
OPP00003,REP015,PRD13,Inbound,West,Lead,210.28,2025-12-07,
OPP00004,REP019,PRD14,Outbound,N.,Closed Lost,66.35,2026-03-03,05/19/2026
OPP00005,REP034,PRD06,Outbound,NORTH,Qualified,247.79,2026-04-20,
OPP00006,REP010,PRD15,Partner,Centrl,Lead,1468.53,2026-06-09,
OPP00007,REP009,PRD12,Partner,E.,Lead,100.63,2026-08-10,
OPP00008,REP006,PRD07,Outbound,South ,Qualified,89.85,19-Jun-2026,
OPP00009,REP016,PRD15,Partner,south,Proposal,2589.57,10/05/2025,
OPP00010,REP025,PRD05,Outbound,N.,Qualified,846.96,2026-01-12,
OPP00011,REP015,PRD12,Outbound,west,Lead,515.36,12/25/2025,
OPP00012,REP031,PRD14,Inbound,east,Closed Won,44.83,2025-08-22,2025-12-31
OPP00013,REP024,PRD12,Inbound, North,Closed Won,436.19,2025-07-20,2026-01-14
OPP00014,REP031,PRD09,Outbound,EAST,Lead,485.72,2025-12-22,
OPP00015,REP025,PRD11,Inbound,NORTH,Lead,1127.93,2025-07-09,
OPP00016,REP029,PRD05,Inbound,west,Qualified,78.51,2025-08-28,
OPP00017,REP027,PRD11,Web Signup,E.,Lead,2415.18,18-Aug-2025,
OPP00018,REP031,PRD13,Inbound,E.,Lead,127.64,2025-12-28,
OPP00019,REP027,PRD11,Partner,E.,Qualified,881.74,2025-08-25,
OPP00020,REP031,PRD09,Outbound,EAST,Lead,219.98,28-Jul-2025,
OPP00021,REP027,PRD13,Outbound,EAST,Lead,27.31,03/17/2026,
OPP00022,REP038,PRD15,Inbound,Central,Proposal,3341.37,28-Aug-2025,
OPP00023,REP009,PRD12,Referral,east,Qualified,117.75,2026-08-07,
OPP00024,REP004,PRD01,Inbound,Central ,Proposal,152.9,01/04/2026,
OPP00025,REP017,PRD09,Outbound,west ,Closed Lost,142.07,05-Feb-2026,2026-08-12
OPP00026,REP029,PRD15,Outbound,WEST,Closed Lost,868.48,2025-12-17,2026-07-14
OPP00027,REP026,PRD14,Partner,East,Proposal,163.52,14-Oct-2025,
OPP00028,REP001,PRD08,Web Signup,west ,Closed Lost,5435.02,2026-07-06,2026-07-29
OPP00029,REP010,PRD13,Referral,central,Lead,199.59,07/06/2026,
OPP00030,REP001,PRD07,Outbound,west ,Qualified,160.79,2026-05-16,
OPP00031,REP023,PRD05,Inbound,,Proposal,3143.32,2025-11-28,
OPP00032,REP032,PRD03,Inbound,West,Qualified,917.39,2025-09-15,
OPP00033,REP022,PRD10,Outbound,central,Qualified,82.8,2025-09-17,
OPP00034,REP039,PRD01,Referral, North,Lead,32.1,2026-06-03,
OPP00035,REP024,PRD01,Web Signup,North,Closed Won,84.35,2026-04-05,2026-06-26
OPP00036,REP023,PRD15,Partner,West,Qualified,786.95,2026-05-19,
OPP00037,REP024,PRD08,Partner,north,Closed Won,1097.69,2026-07-01,2026-07-06
OPP00038,REP011,PRD06,Outbound,West,Qualified,142.35,2025-09-18,
OPP00039,REP018,PRD03,Partner,Central ,Lead,25.96,08/20/2025,
OPP00040,REP029,PRD14,Inbound,west,Closed Won,53.98,2026-05-12,2026-07-16
OPP00041,REP023,PRD07,Inbound,West,Qualified,61.4,26-Sep-2025,
OPP00042,REP034,PRD08,Outbound,N.,Lead,1205.3,01/13/2026,
OPP00043,REP019,PRD04,Inbound,N.,Closed Won,39.07,2025-11-29,2026-02-10
OPP00044,REP028,PRD01,Inbound,SOUTH,Closed Lost,45.55,2026-08-24,2026-08-29
OPP00045,REP030,PRD13,Outbound,west ,Proposal,48.98,2025-10-20,
OPP00046,REP021,PRD08,Referral,south,Proposal,1939.07,2026-05-27,
OPP00047,REP012,PRD09,Partner,East,Qualified,149.34,11/23/2025,
OPP00048,REP022,PRD08,Referral,CENTRAL,Proposal,1566.24,2026-02-05,
OPP00049,REP015,PRD03,Inbound,WEST,Closed Lost,575.51,2026-06-28,22-Jul-2026
OPP00050,REP035,PRD07,Partner,East,Proposal,53.9,2025-08-31,
OPP00051,REP035,PRD01,Outbound,East,Qualified,34.06,13-Jun-2026,
OPP00052,REP035,PRD01,Outbound,EAST,Lead,51.77,09/18/2025,
OPP00053,REP031,PRD02,Outbound,,Closed Lost,240.18,08/12/2025,2026-04-22
OPP00054,REP028,PRD10,Partner,South,Closed Won,53.87,27-Aug-2026,08/27/2026
OPP00055,REP010,PRD05,Outbound,CENTRAL,Lead,1082.75,2025-09-14,
OPP00056,REP034,PRD02,Partner,North,Qualified,129.66,2026-01-03,
OPP00057,REP024,PRD12,Web Signup,,Proposal,265.12,11/10/2025,
OPP00058,REP024,PRD05,Outbound, North,Closed Lost,1315.5,05/15/2026,2026-08-17
OPP00059,REP023,PRD13,Partner,west,Proposal,32.44,2026-07-12,
OPP00060,REP009,PRD09,Inbound,east,Qualified,77.62,2025-12-17,
OPP00061,REP018,PRD02,Web Signup,Central,Lead,244.19,11-May-2026,
OPP00062,REP011,PRD14,Web Signup,west ,Qualified,142.45,18-Aug-2025,
OPP00063,REP020,PRD13,Referral,west,Qualified,221.86,08-Nov-2025,
OPP00064,REP010,PRD10,Web Signup,Central,Proposal,73.76,2026-04-24,
OPP00065,REP011,PRD01,Outbound,west,Proposal,212.04,2025-07-05,
OPP00066,REP027,PRD02,Referral,E.,Closed Lost,54.18,2026-05-03,06/23/2026
OPP00067,REP016,PRD02,Web Signup,south,Qualified,164.82,2026-06-22,
OPP00068,REP036,PRD13,Outbound,Central,Proposal,220.73,10-Feb-2026,
OPP00069,REP025,PRD11,Inbound, North,Qualified,920.0,2026-05-28,
OPP00070,REP023,PRD07,Partner,west ,Closed Won,25.02,17-Jul-2026,2026-07-24
OPP00071,REP023,PRD08,Partner,WEST,Closed Won,2349.57,2025-11-28,23-Mar-2026
OPP00072,REP035,PRD11,Outbound,East,Proposal,816.62,12/20/2025,
OPP00073,REP022,PRD14,Referral,central,Qualified,-267.13,2025-08-18,
OPP00074,REP021,PRD03,Web Signup,SOUTH,Lead,1116.48,08/29/2026,
OPP00075,REP008,PRD05,Referral,E.,Closed Won,496.8,2025-08-20,06/06/2026
OPP00076,REP012,PRD07,Partner,E.,Lead,41.28,03/04/2026,
OPP00077,REP015,PRD14,Inbound,west ,Qualified,11.17,08/17/2025,
OPP00078,REP027,PRD01,Inbound,EAST,Lead,25.62,2025-08-11,
OPP00079,REP034,PRD06,Outbound,north,Lead,92.55,07/09/2026,
OPP00080,REP006,PRD02,Referral,South,Proposal,162.41,07/29/2026,
OPP00081,REP036,PRD01,Inbound,central,Closed Lost,148.6,2026-08-20,2026-08-23
