cohort_label,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2025-07,0.6,1.3,2.1,3.2,4.7,6.4,7.5,8.4,9.9,10.9,11.6,12.2,13.1,14.4
2025-08,0.2,0.3,2.1,2.8,3.8,5.0,5.5,6.6,7.4,7.8,8.7,9.3,9.5,9.7
2025-09,0.9,2.1,2.6,3.8,5.1,6.7,8.0,9.2,9.8,10.1,11.5,11.6,11.6,11.6
2025-10,0.5,1.6,2.8,3.3,4.1,4.9,5.7,6.2,7.1,8.7,10.1,10.4,10.4,10.4
2025-11,0.5,2.1,3.6,4.5,6.2,7.1,9.2,9.9,11.5,13.0,13.0,13.0,13.0,13.0
2025-12,0.9,2.2,3.9,4.8,6.7,8.0,10.0,10.7,12.4,12.8,12.8,12.8,12.8,12.8
2026-01,1.6,3.5,5.7,7.8,9.5,11.3,12.8,13.7,13.9,13.9,13.9,13.9,13.9,13.9
2026-02,1.3,3.6,5.8,8.0,9.8,11.4,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1
2026-03,0.7,2.4,4.4,5.8,7.7,8.9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
2026-04,1.0,2.6,5.2,7.1,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
2026-05,1.4,4.1,8.2,11.2,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4
2026-06,2.2,6.1,12.0,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2
2026-07,3.1,9.1,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4
2026-08,9.0,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7
2026-09,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
