cohort_index,age_months,wins,cumulative_wins
24307,0,3,3.0
24307,1,3,6.0
24307,2,4,10.0
24307,3,5,15.0
24307,4,7,22.0
24307,5,8,30.0
24307,6,5,35.0
24307,7,4,39.0
24307,8,7,46.0
24307,9,5,51.0
24307,10,3,54.0
24307,11,3,57.0
24307,12,4,61.0
24307,13,6,67.0
24308,0,1,1.0
24308,1,1,2.0
24308,2,10,12.0
24308,3,4,16.0
24308,4,6,22.0
24308,5,7,29.0
24308,6,3,32.0
24308,7,6,38.0
24308,8,5,43.0
24308,9,2,45.0
24308,10,5,50.0
24308,11,4,54.0
24308,12,1,55.0
24308,13,1,56.0
24309,0,5,5.0
24309,1,7,12.0
24309,2,3,15.0
24309,3,7,22.0
24309,4,8,30.0
24309,5,9,39.0
24309,6,8,47.0
24309,7,7,54.0
24309,8,3,57.0
24309,9,2,59.0
24309,10,8,67.0
24309,11,1,68.0
24310,0,3,3.0
24310,1,7,10.0
24310,2,8,18.0
24310,3,3,21.0
24310,4,5,26.0
24310,5,5,31.0
24310,6,5,36.0
24310,7,3,39.0
24310,8,6,45.0
24310,9,10,55.0
24310,10,9,64.0
24310,11,2,66.0
24311,0,3,3.0
24311,1,9,12.0
24311,2,9,21.0
24311,3,5,26.0
24311,4,10,36.0
24311,5,5,41.0
24311,6,12,53.0
24311,7,4,57.0
24311,8,9,66.0
24311,9,9,75.0
24312,0,5,5.0
24312,1,7,12.0
24312,2,9,21.0
24312,3,5,26.0
24312,4,10,36.0
24312,5,7,43.0
24312,6,11,54.0
24312,7,4,58.0
24312,8,9,67.0
24312,9,2,69.0
24313,0,9,9.0
24313,1,10,19.0
24313,2,12,31.0
24313,3,12,43.0
24313,4,9,52.0
24313,5,10,62.0
24313,6,8,70.0
24313,7,5,75.0
24313,8,1,76.0
24314,0,7,7.0
24314,1,13,20.0
24314,2,12,32.0
24314,3,12,44.0
24314,4,10,54.0
24314,5,9,63.0
24314,6,9,72.0
24315,0,4,4.0
24315,1,10,14.0
24315,2,12,26.0
24315,3,8,34.0
24315,4,11,45.0
24315,5,7,52.0
24315,6,1,53.0
24316,0,6,6.0
24316,1,9,15.0
24316,2,15,30.0
24316,3,11,41.0
24316,4,18,59.0
24317,0,8,8.0
24317,1,16,24.0
24317,2,24,48.0
24317,3,18,66.0
24317,4,1,67.0
24318,0,13,13.0
24318,1,23,36.0
24318,2,35,71.0
24318,3,1,72.0
24319,0,19,19.0
24319,1,36,55.0
24319,2,2,57.0
24320,0,51,51.0
24320,1,15,66.0
24321,0,6,6.0
