region_name,year,month,revenue,prev_month_revenue,mom_pct_change
Central,2025,7,319.93,,
Central,2025,9,216.47,319.93,-32.3
Central,2025,10,1147.25,216.47,430.0
Central,2025,11,2475.86,1147.25,115.8
Central,2025,12,2337.25,2475.86,-5.6
Central,2026,1,1593.53,2337.25,-31.8
Central,2026,2,4610.27,1593.53,189.3
Central,2026,3,6216.55,4610.27,34.8
Central,2026,4,4739.72,6216.55,-23.8
Central,2026,5,4809.27,4739.72,1.5
Central,2026,6,9659.56,4809.27,100.9
Central,2026,7,12176.97,9659.56,26.1
Central,2026,8,15906.22,12176.97,30.6
Central,2026,9,2626.97,15906.22,-83.5
East,2025,8,1322.86,,
East,2025,9,167.01,1322.86,-87.4
East,2025,10,1675.4,167.01,903.2
East,2025,11,1622.75,1675.4,-3.1
East,2025,12,10218.5,1622.75,529.7
East,2026,1,1961.52,10218.5,-80.8
East,2026,2,3241.94,1961.52,65.3
East,2026,3,7914.82,3241.94,144.1
East,2026,4,22280.69,7914.82,181.5
East,2026,5,11632.9,22280.69,-47.8
East,2026,6,7317.77,11632.9,-37.1
East,2026,7,5446.59,7317.77,-25.6
East,2026,8,32955.65,5446.59,505.1
East,2026,9,8204.01,32955.65,-75.1
North,2025,9,53.84,,
North,2025,10,1470.84,53.84,2631.9
North,2025,11,199.24,1470.84,-86.5
North,2025,12,7133.35,199.24,3480.3
North,2026,1,5659.5,7133.35,-20.7
North,2026,2,6372.35,5659.5,12.6
North,2026,3,2017.37,6372.35,-68.3
North,2026,4,1145.53,2017.37,-43.2
North,2026,5,5935.27,1145.53,418.1
North,2026,6,6512.58,5935.27,9.7
North,2026,7,11085.25,6512.58,70.2
North,2026,8,7205.29,11085.25,-35.0
North,2026,9,804.85,7205.29,-88.8
South,2025,9,1281.7,,
South,2025,10,1938.4,1281.7,51.2
South,2025,11,1637.09,1938.4,-15.5
South,2025,12,1850.3,1637.09,13.0
South,2026,1,3095.57,1850.3,67.3
South,2026,2,6066.24,3095.57,96.0
South,2026,3,4422.21,6066.24,-27.1
South,2026,4,4091.59,4422.21,-7.5
South,2026,5,2589.92,4091.59,-36.7
South,2026,6,9086.19,2589.92,250.8
South,2026,7,6344.02,9086.19,-30.2
South,2026,8,24476.83,6344.02,285.8
South,2026,9,171.23,24476.83,-99.3
West,2025,8,81.11,,
West,2025,10,6226.34,81.11,7576.4
West,2025,11,2750.36,6226.34,-55.8
West,2025,12,1355.87,2750.36,-50.7
West,2026,1,7053.42,1355.87,420.2
West,2026,2,8828.52,7053.42,25.2
West,2026,3,5064.91,8828.52,-42.6
West,2026,4,7245.97,5064.91,43.1
West,2026,5,11690.18,7245.97,61.3
West,2026,6,11986.36,11690.18,2.5
West,2026,7,25257.75,11986.36,110.7
West,2026,8,21458.91,25257.75,-15.0
West,2026,9,3550.57,21458.91,-83.5
